Date,Open,High,Low,Close,Adj Close,Volume
2014-05-08,426.25,432.674988,425,429.350006,377.844208,84948
2014-05-09,427.600006,432.200012,424.725006,426.424988,375.270142,152378
2014-05-12,423.549988,429.25,421.774994,424.549988,373.620056,105258
2014-05-13,427.399994,439.75,425,437.075012,384.642517,139330
2014-05-14,437.950012,447.450012,437.5,445.475006,392.034882,778514
2014-05-15,445.475006,447,434.100006,440.799988,387.920654,100596
2014-05-16,442.600006,445,430.5,431.600006,379.824341,171916
2014-05-19,434.5,434.5,410.475006,412.825012,363.301636,192606
2014-05-20,413.25,421,412.5,417.725006,367.613861,332272
2014-05-21,418.25,420.5,415,419.049988,368.779877,132094
2014-05-22,420.600006,434,413.350006,416.649994,366.667755,318408
2014-05-23,422.350006,438.5,420.25,433.524994,381.518402,320388
2014-05-26,441.5,448.5,425.5,434.875,382.706451,476702
2014-05-27,436.75,445,421,435.625,383.366516,765514
2014-05-28,440,450,434.475006,440.399994,387.568665,364558
2014-05-29,442.350006,442.350006,428,434.649994,382.508453,204618
2014-05-30,434.5,442.5,433.049988,440.549988,387.700653,151772
2014-06-02,445.5,457.5,441.674988,445.649994,392.188873,324736
2014-06-03,446,454.5,441,449.100006,395.224976,139940
2014-06-04,452.475006,453.225006,444.200012,449.450012,395.53299,423078
2014-06-05,445.174988,451.75,445.174988,447.475006,393.794952,92562
2014-06-06,447.475006,452.200012,440.25,442.399994,389.328735,255702
2014-06-09,441,443.174988,440,440.600006,387.74469,174412
2014-06-10,442.5,445.5,437.125,437.924988,385.390533,145836
2014-06-11,436.075012,494,436.075012,484.625,426.488373,1859094
2014-06-12,488.424988,499.5,482.5,490.649994,431.790558,525960
2014-06-13,490,490,460.375,463.200012,407.633575,289058
2014-06-16,463.200012,478,463.125,474.25,417.358002,265432
2014-06-17,475.5,475.649994,469,473.649994,416.829956,96892
2014-06-18,474.5,485.899994,454.5,467.350006,411.285706,472860
2014-06-19,470,471,456,459.299988,404.201355,83826
2014-06-20,457.799988,470,456.024994,457.899994,402.96933,113850
2014-06-23,457.774994,470.5,457.774994,466.274994,410.339661,208798
2014-06-24,462.524994,472,462.524994,471,414.497833,170376
2014-06-25,468.024994,504.350006,468.024994,498.625,438.808868,694676
